회사명,행정기관명,설립구분명,용지면적(㎡),건축면적(㎡),종업원수,공장규모구분명,공장등록일,용도지역명,지목명,업종명,업종코드,생산품정보,전화번호,정제우편번호,정제도로명주소,정제지번주소,위도,경도
(주)선명알에스,경기도 성남시,일반,137,88,4,소기업,20121022,도시지역 / 주거지역 / 제1종일반주거지역,대,사무 및 회화용품 제조업,33920, ,031-714-0946,13609,경기도 성남시 분당구 백현로144번길 9-1,경기도 성남시 분당구 정자동 44-12번지,37.37275887,127.1137001
(주)셀라토즈테라퓨틱스,경기도 성남시,일반,492.67,425.65,13,소기업,20191126,도시지역 / 상업지역 / 일반상업지역,대,생물학적 제제 제조업,21102,의약품(세포치료제),031-622-4300,13605,경기도 성남시 분당구 돌마로 172,"경기도 성남시 분당구 정자동 217번지 분당서울대병원 헬스케어혁신파크 H2211호, H2208호",37.35430407,127.1209761
(주)아리바이오,경기도 성남시,일반,459.52,212.89,6,소기업,20190923,도시지역 / 상업지역 / 근린상업지역,대,의료용품 및 기타 의약 관련제품 제조업,21300,필러,02-2637-0009,13605,경기도 성남시 분당구 돌마로 172,경기도 성남시 분당구 정자동 217번지 분당서울대학교병원 HIP혁신센터 1104호,37.35430407,127.1209761
(주)필로포스,경기도 성남시,창업,126.336,28.15,0,소기업,20230309,도시지역 / 상업지역 / 일반상업지역,대,기타 광학기기 제조업,27309,기타 광학기기(분광기),031-6983-101,13605,경기도 성남시 분당구 돌마로 172,경기도 성남시 분당구 정자동 217번지 분당서울대학교병원헬스케어혁신파크 407호,37.35430407,127.1209761
보림상사,경기도 성남시,일반,0,130,5,소기업,19980627,도시지역 / 상업지역 / 일반상업지역,공장용지,귀금속 및 관련제품 제조업,33110,보조장식구,02-407-0913,13612,경기도 성남시 분당구 불정로71번길 4-2,경기도 성남시 분당구 정자동 140-6번지,37.36020845,127.1127256
세이브원,경기도 성남시,일반,55,55,3,소기업,20011109,도시지역 / 주거지역 / 제1종일반주거지역,대,"금속 문, 창, 셔터 및 관련제품 제조업",25111,무선도어록,031-711-2980,13604,경기도 성남시 분당구 불곡로7번길 8,경기도 성남시 분당구 정자동 222-1번지,37.35961432,127.1241452
오스펌,경기도 성남시,일반,89.33,74.33,4,소기업,20230719,도시지역 / 상업지역 / 일반상업지역,대,기타 기초 무기 화학물질 제조업,20129,무기화합물,031-787-8490,13605,경기도 성남시 분당구 돌마로 172,경기도 성남시 분당구 정자동 217번지 분당서울대학교병원 헬스케어혁신파크 6층 H6110호,37.35430407,127.1209761
주식회사 셀비온,경기도 성남시,일반,0,186.09,5,소기업,20180119,도시지역 / 상업지역 / 일반상업지역,대,화장품 제조업,20423,"화장품, 천연 추출물 원료",070-4420-5255,13605,경기도 성남시 분당구 돌마로 172,경기도 성남시 분당구 정자동 217번지 분당서울대학교병원헬스케어혁신파크 1층,37.35430407,127.1209761
프리모교복,경기도 성남시,일반,52.93,30,0,소기업,20040425,도시지역 / 주거지역 / 제2종일반주거지역,대,그 외 기타 봉제의복 제조업,14199,학생복,031-712-2316,13609,경기도 성남시 분당구 내정로129번길 8,경기도 성남시 분당구 정자동 47-4번지,37.37201677,127.1155562
한국초임계추출(주),경기도 성남시,일반,137.14,17.2,4,소기업,20040608,도시지역 / 주거지역 / 제2종일반주거지역,대,기체 여과기 제조업,29174,초임계추출기,031-715-1144,13612,경기도 성남시 분당구 불정로65번길 1,경기도 성남시 분당구 정자동 142-2번지,37.36021376,127.1115963
(주)아빅스,경기도 성남시,일반,303.98,39.75,3,소기업,20201215,도시지역 / 상업지역 / 중심상업지역,대,기타 음향기기 제조업,26529,스피커시스템,02-3019-7317,13590,경기도 성남시 분당구 황새울로351번길 10,경기도 성남시 분당구 서현동 254-4번지 여암빌딩 5층 501호,37.38767113,127.1231466
주식회사 신방산업,경기도 성남시,창업,69.4,34.7,5,소기업,20230403,도시지역 / 상업지역 / 근린상업지역,대,"플라스틱 선, 봉, 관 및 호스 제조업",22211,일체형 냉온수 분배기,031-702-9741,13586,경기도 성남시 분당구 돌마로486번길 40,경기도 성남시 분당구 서현동 305-5번지 한라쇼핑 지하1층 18호,37.37480525,127.1365273
(주)시즈글로벌,경기도 성남시,일반,0,106.05,8,소기업,20230908,도시지역 / 주거지역 / 준주거지역,대,그 외 기타 의복액세서리 제조업 외 2 종,"14192, 14199, 14499",스키장갑,031-740-4600,13262,경기도 성남시 수정구 수정로 300-1,경기도 성남시 수정구 신흥동 844-1번지 지층,37.45091583,127.1479289
경성산업,경기도 성남시,일반,0,145,13,소기업,20020529,도시지역 / 주거지역 / 준주거지역,대,편조의복 제조업,14300,쉐타,031-741-2835,13351,경기도 성남시 수정구 공원로339번길 30,경기도 성남시 수정구 신흥동 2580-2번지,37.44226125,127.1474495
남일제화,경기도 성남시,일반,120,100,4,소기업,19800701,도시지역 / 주거지역 / 준주거지역,대,구두류 제조업,15211,남자용단화,031-732-8686,13259,경기도 성남시 수정구 수정로257번길 12-8,경기도 성남시 수정구 신흥동 69-1번지,37.44870725,127.1448415
다미상사,경기도 성남시,일반,235.2,132,4,소기업,20080414,도시지역 / 상업지역 / 일반상업지역,대,편조의복 제조업,14300,스웨터,031-742-1712,13346,경기도 성남시 수정구 수정남로 147,경기도 성남시 수정구 신흥동 3436-8번지 2층,37.4437638,127.1435309
덕진실업,경기도 성남시,일반,119.7,109.7,11,소기업,20030927,도시지역 / 상업지역 / 일반상업지역,대,그 외 기타 봉제의복 제조업,14199,청바지,031-746-1538,13350,경기도 성남시 수정구 공원로349번길 21,경기도 성남시 수정구 신흥동 2631번지,37.44281182,127.1476956
동보모자상사,경기도 성남시,일반,0,136,33,소기업,20010206,도시지역 / 주거지역 / 준주거지역,대,모자 제조업,14491,모자,031-743-9955,13262,,경기도 성남시 수정구 신흥동 859번지 수정아파트,37.45084325,127.147771
매쉬미디어(주),경기도 성남시,일반,0,171.32,2,소기업,20230504,도시지역 / 주거지역 / 준주거지역,대,셔츠 및 블라우스 제조업 외 23 종,"13213, 13221, 13223, 13224, 13229, 13991, 13992, 14111, 14112, 14120, 14191, 14192, 14193, 14194, 14199, 14300, 14411, 14419, 14491, 14499, 15121, 15129, 15211, 15219","셔츠, 블라우스, 체육복",02-336-1664,13259,경기도 성남시 수정구 수정로 261,경기도 성남시 수정구 신흥동 73-4번지 3층,37.44818514,127.1450701
인티맥스 주식회사,경기도 성남시,일반,1122.52,880,57,중기업,20230927,도시지역 / 녹지지역 / 자연녹지지역,공장용지,반도체 제조용 기계 제조업,29271,"Water Laminator, Water Mounter, MPC Laser Pin Bonder",031-548-1146,13543,경기도 성남시 분당구 대왕판교로395번길 8,경기도 성남시 분당구 백현동 404-6번지 A동 지1층,37.37885524,127.1010408
(주)텔레피아넷,경기도 성남시,일반,51.27,51.27,12,소기업,20040731,도시지역 / 주거지역 / 제2종일반주거지역,대,유선 통신장비 제조업 외 2 종,"26322, 26410, 26421",CCTV,031-712-3391,13616,경기도 성남시 분당구 정자일로 1,경기도 성남시 분당구 금곡동 210번지 코오롱트리폴리스 1011호,37.35079183,127.1054009
(주)한양엔지니어링,경기도 성남시,일반,83,83,6,소기업,20110526,도시지역 / 상업지역 / 중심상업지역,대,그 외 기타 전자부품 제조업 외 1 종,"26295, 26299",맨홀용 센서,031-755-9166,13616,경기도 성남시 분당구 정자일로 23,경기도 성남시 분당구 금곡동 207번지 토필드빌딩 1층 (벤처기업집적시설지정),37.35212725,127.1058117
느티나무정보통신(주),경기도 성남시,일반,36.36,36.36,6,소기업,20051207,도시지역 / 상업지역 / 중심상업지역,대,방송장비 제조업,26421,CCTV주변기기,031-712-1040,13615,경기도 성남시 분당구 성남대로171번길 9,경기도 성남시 분당구 금곡동 171번지 골든벨리 306호,37.35114145,127.1075331
코스모스 티이에스(주),경기도 성남시,일반,30,150,9,소기업,20080411,도시지역 / 상업지역 / 중심상업지역,대,방송장비 제조업,26421,DVR,031-719-3008,13618,경기도 성남시 분당구 돌마로 73,경기도 성남시 분당구 금곡동 155번지 우방코아빌딩 606호,37.35040172,127.1100774
(주)엠젠,경기도 성남시,창업,238.53,67.27,7,소기업,20230616,도시지역 / 녹지지역 / 자연녹지지역,대,"물질 검사, 측정 및 분석기구 제조업",27213,"3D 표면/깊이 검사측정기기, 광학측정기기, 박막두께 측정기기",031-8039-7334,13550,경기도 성남시 분당구 궁내로 46-8,경기도 성남시 분당구 궁내동 352-2번지 1층,37.3702686,127.0967608
(주)지엘비이,경기도 성남시,일반,223.65,50.4,6,소기업,20120515,도시지역 / 상업지역 / 근린상업지역,대,축전지 제조업,28202,리튬이온전지소재,031-701-0951,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 7층 705-2,37.4038895,127.1503976
(주)지엠피쥬얼리,경기도 성남시,일반,613.67,377.03,100,중기업,20131101,도시지역 / 상업지역 / 근린상업지역,대,귀금속 및 관련제품 제조업,33110,"귀걸이, 목걸이, 반지",031-701-7529,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 2층 205호,37.4041366,127.1516619
(주)지티에스글로벌,경기도 성남시,일반,296.7,13.5,21,소기업,20180104,도시지역 / 상업지역 / 근린상업지역,대,기타 신발 제조업,15219,기능성 신발,070-4880-4445,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 508호,37.40462453,127.1551398
(주)창성에이스산업,경기도 성남시,일반,645.36,901.84,28,소기업,20211029,도시지역 / 상업지역 / 근린상업지역,대,일반용 전기 조명장치 제조업 외 10 종,"26410, 26421, 26429, 28123, 28422, 28423, 28901, 29133, 29193, 29194, 29271","디지탈온도제어기, 불꽃감지지기, CCTV 등, 수동밸브조작기",031-781-1400,13516,경기도 성남시 분당구 판교로 700,"경기도 성남시 분당구 야탑동 151번지 분당테크노파크 E동 104, 207-2, 209, 210호",37.4041366,127.1516619
(주)캐치웰,경기도 성남시,일반,490.26,304.65,32,소기업,20160324,도시지역 / 상업지역 / 근린상업지역,대,기타 무선 통신장비 제조업 외 1 종,"26310, 26429",산업용 PDA,031-788-5201,13511,경기도 성남시 분당구 판교로 723,"경기도 성남시 분당구 야탑동 148번지 분당테크노파크B동 B동 503호일부, 601호, B102호",37.40563669,127.1529544
(주)코넬제약,경기도 성남시,일반,198.34,40.5,2,소기업,20140606,도시지역 / 상업지역 / 근린상업지역,공장용지,화장품 제조업,20423,콜드크림,031-707-2381,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 202호,37.4038895,127.1503976
(주)코텍에너지,경기도 성남시,일반,225.46,175.46,30,소기업,20220720,도시지역 / 상업지역 / 근린상업지역,대,전동기 및 발전기 제조업,28111,"연료전지, 태양광발전장치",02-809-6200,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 506호,37.4038895,127.1503976
(주)타이가,경기도 성남시,일반,150.91,60,3,소기업,20181228,도시지역 / 상업지역 / 근린상업지역,대,일반용 전기 조명장치 제조업,28422,전기조명장치,031-701-0042,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 701호,37.40563669,127.1529544
(주)탑시스템이엔씨,경기도 성남시,일반,93.22,72.8,4,소기업,20160212,도시지역 / 상업지역 / 일반상업지역,대,산업처리공정 제어장비 제조업 외 2 종,"26429, 27216, 28123",배전반 및 전자동제어반 제조 ,031-698-3890,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크D동 611-1호,37.4041366,127.1516619
(주)텔리뷰,경기도 성남시,일반,462,150,13,소기업,20001122,도시지역 / 상업지역 / 중심상업지역,대,기타 음향기기 제조업,26529,디지탈TV셋탑박스,031-703-9445,13497,경기도 성남시 분당구 야탑로75번길 15,경기도 성남시 분당구 야탑동 355-1번지 4층,37.41117268,127.1268257
(주)티앤씨테크놀로지,경기도 성남시,창업,149.1,43.87,10,소기업,20230927,도시지역 / 상업지역 / 근린상업지역,대,금속 가구 제조업,32091,RACK,031-697-8401,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 202호,37.40563669,127.1529544
(주)팬옵틱스,경기도 성남시,일반,182.452,43.99,11,소기업,20170411,도시지역 / 상업지역 / 근린상업지역,대,기타 무선 통신장비 제조업,26429,초광대역 저잡음 증폭기,050-2702-9999,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 908호,37.4038895,127.1503976
(주)포엘디자인,경기도 성남시,일반,450.92,320.92,10,소기업,20170703,도시지역 / 상업지역 / 근린상업지역,대,육상 금속 골조 구조재 제조업 외 2 종,"25113, 25114, 28511","LED스탠드, 모니터받침대, 실물화상기",031-765-4420,13511,경기도 성남시 분당구 판교로 697,"경기도 성남시 분당구 야탑동 150번지 분당테크노파크A동 A동 2층 201-4호, 201-5호",37.40550474,127.1510002
(주)한국유로썸,경기도 성남시,일반,113,113,20,소기업,19970115,도시지역 / 상업지역 / 일반상업지역,대,배전반 및 전기 자동제어반 제조업,28123,배전반,031-273-8507,13504,경기도 성남시 분당구 매화로56번길 21-1,경기도 성남시 분당구 야탑동 282-7번지,37.41269838,127.1362652
(주)에이씨티인터내셔널,경기도 성남시,일반,450,220,13,소기업,20230814,도시지역 / 상업지역 / 근린상업지역,대,발광 다이오드 제조업 외 2 종,"20424, 26121, 26129",반도체부품,031-703-6961,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 509호,37.40462453,127.1551398
(주)에이아이웨어,경기도 성남시,일반,301.82,160,9,소기업,20190124,도시지역 / 상업지역 / 근린상업지역,대,산업처리공정 제어장비 제조업 외 2 종,"27216, 29272, 62010",공정불량 자동검출 장비,031-8023-5660,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 분당테크노파크 C동 906호,37.40462453,127.1551398
(주)에이펙스이미지,경기도 성남시,일반,53.48,35.5,7,소기업,20051129,도시지역 / 상업지역 / 중심상업지역,대,비디오 및 기타 영상기기 제조업 외 1 종,"26519, 33932",Multi Device Controller외 다수,031-709-4631,13496,경기도 성남시 분당구 장미로 42,경기도 성남시 분당구 야탑동 342-1번지 야탑리더스 216호,37.41348507,127.1255147
(주)에이피엠테크놀로지스,경기도 성남시,일반,0,83.3,15,소기업,20190211,도시지역 / 상업지역 / 근린상업지역,대,배전반 및 전기 자동제어반 제조업,28123,전기 자동제어반,02-545-6286,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 505호,37.4038895,127.1503976
(주)에피테크,경기도 성남시,일반,0,63.9,3,소기업,20200810,도시지역 / 상업지역 / 근린상업지역,대,유선 통신장비 제조업 외 4 종,"26410, 26421, 26429, 26521, 26529","폐쇄회로텔레비젼시스템, 음향기기 및 구내방송장치 등",031-778-6350,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크 D동 602-1호,37.4038895,127.1503976
(주)엘케이바이오텍,경기도 성남시,일반,197,50.5,1,소기업,20191212,도시지역 / 상업지역 / 근린상업지역,대,"치약, 비누 및 기타 세제 제조업",20422,천연비누,031-707-1388,13511,경기도 성남시 분당구 판교로 723,경기도 성남시 분당구 야탑동 148번지 분당테크노파크 B동 404호,37.40563669,127.1529544
(주)우일플루콘,경기도 성남시,일반,92.09,149.1,6,소기업,20150625,도시지역 / 상업지역 / 근린상업지역,대,"물질 검사, 측정 및 분석기구 제조업",27213,반도체분석용기기제조,031-798-8743,13516,경기도 성남시 분당구 판교로 700,경기도 성남시 분당구 야탑동 151번지 분당테크노파크D동 D동 306-1호,37.4038895,127.1503976
(주)웨이투텍,경기도 성남시,창업,350.46,46.13,14,소기업,20230531,도시지역 / 상업지역 / 근린상업지역,"대, 대, 대",컨베이어장치 제조업 외 2 종,"28903, 29163, 31202",주차관제장치,031-706-6546,13510,경기도 성남시 분당구 판교로 744,경기도 성남시 분당구 야탑동 145번지 외 2필지 분당테크노파크 C동 302호,37.40462453,127.1551398
(주)이노파크텍,경기도 성남시,일반,150.32,75.16,6,소기업,20220121,도시지역 / 상업지역 / 근린상업지역,대,철도차량 부품 및 관련 장치물 제조업 외 2 종,"28903, 29163, 31202","주차관제시스템, 주차관제시스템 H/W, S/W",031-756-6773,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 9층 901호,37.40550474,127.1510002
(주)이디크린,경기도 성남시,일반,278,139,4,소기업,20110414,도시지역 / 녹지지역 / 보전녹지지역,대,"치약, 비누 및 기타 세제 제조업 외 2 종","20422, 20495, 20499","세척제, 방청제",031-609-0904,13509,경기도 성남시 분당구 새나리로 17,경기도 성남시 분당구 야탑동 50-1번지,37.40461405,127.1577386
(주)일광수산,경기도 성남시,일반,2467,378,12,소기업,20060809,도시지역 / 녹지지역 / 자연녹지지역,대,수산동물 건조 및 염장품 제조업,10212,참굴비,031-701-8080,13509,경기도 성남시 분당구 판교로 782,경기도 성남시 분당구 야탑동 35-2번지,37.40471819,127.1594669
(주)장성,경기도 성남시,일반,301.82,201.82,20,소기업,19980107,도시지역 / 상업지역 / 근린상업지역,대,의료용품 및 기타 의약 관련제품 제조업 외 1 종,"21300, 22299","거즈,붕대,플라스틱커트리지",031-707-2893,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크 A동 503호,37.40550474,127.1510002
(주)제이앤에스이엔지,경기도 성남시,일반,588.82,30.75,12,소기업,20200213,도시지역 / 상업지역 / 근린상업지역,"대, 대, 대, 대, 대",공기 조화장치 제조업,29172,자동차용 히터 및 에어컨,070-4170-6191,13511,경기도 성남시 분당구 판교로 697,경기도 성남시 분당구 야탑동 150번지 분당테크노파크A동 A동 8층 801 외 4필지,37.40550474,127.1510002
(주)엠엠에이코리아,경기도 성남시,일반,402.7,196.25,3,소기업,20210714,도시지역 / 주거지역 / 제2종일반주거지역,대,그 외 기타 의료용 기기 제조업,27199,"bed head unit, wall outlet",02-585-3808,13409,경기도 성남시 중원구 마지로 50,경기도 성남시 중원구 하대원동 10번지 지1층,37.42819844,127.1351052
(주)킴블스,경기도 성남시,일반,152.44,152.44,6,소기업,20210430,도시지역 / 주거지역 / 제2종일반주거지역,대,"천막, 텐트 및 유사 제품 제조업 외 14 종","13224, 13999, 14111, 14112, 14120, 14191, 14192, 14193, 14194, 14199, 14491, 14499, 15121, 15129, 15190","장갑, 커버, 가방 등 섬유제품류",02-6959-8557,13406,경기도 성남시 중원구 둔촌대로248번길 10,경기도 성남시 중원구 하대원동 149-3번지 1층,37.42760031,127.145902
바라래,경기도 성남시,일반,0,130.4,4,소기업,20160204,도시지역 / 주거지역 / 제2종일반주거지역,대,장식용 목제품 제조업 외 1 종,"16292, 32029","나전칠기, 옻칠공예품",031-741-5578,13407,경기도 성남시 중원구 둔촌대로 236,경기도 성남시 중원구 하대원동 147-2번지 영진빌딩 3층 3호,37.42781274,127.1446012
아트캡,경기도 성남시,일반,264,110,5,소기업,20171121,도시지역 / 주거지역 / 제2종일반주거지역,대,모자 제조업 외 1 종,"13222, 14491",모자,031-733-8200,13407,경기도 성남시 중원구 둔촌대로 226,경기도 성남시 중원구 하대원동 148-6번지 2층,37.42780913,127.1434031
(주)해승인터내셔날,경기도 성남시,일반,360,320,9,소기업,19980627,도시지역 / 녹지지역 / 자연녹지지역,대,모피제품 제조업 외 2 종,"14200, 14499, 15110",자동차매트,031-714-4457,13546,경기도 성남시 분당구 벌장투리로 21,경기도 성남시 분당구 대장동 571-4번지,37.36214646,127.0586914
영광테크,경기도 성남시,일반,69.6,60,5,소기업,20050113,도시지역 / 주거지역 / 제2종일반주거지역,대,커튼 및 유사제품 제조업 외 1 종,"13221, 13223","커튼, 무대막",031-756-0027,13284,경기도 성남시 수정구 탄리로132번길 13-8,경기도 성남시 수정구 태평동 898번지,37.44807317,127.1349408
동신산업사,경기도 성남시,일반,50,50,1,소기업,20190827,도시지역 / 주거지역 / 제2종일반주거지역,대,가방 및 기타 보호용 케이스 제조업,15129,가방,031-753-0707,13300,경기도 성남시 수정구 남문로51번길 2,경기도 성남시 수정구 태평동 4024번지,37.44577651,127.1326231
유니코상사(주),경기도 성남시,일반,356,280,30,소기업,20020402,도시지역 / 주거지역 / 준주거지역,대,셔츠 및 블라우스 제조업 외 3 종,"14111, 14112, 14191, 14192",의류,031-721-9792,13288,경기도 성남시 수정구 남문로78번길 20,경기도 성남시 수정구 태평동 3224번지,37.44491251,127.1359623
유열샤시,경기도 성남시,일반,162,50,20,소기업,20000210,도시지역 / 주거지역 / 준주거지역,대,남자용 겉옷 제조업,14111,의류,031-757-9216,13305,경기도 성남시 수정구 수정로135번길 5-8,경기도 성남시 수정구 태평동 3647번지,37.44225718,127.1342456
은광산업,경기도 성남시,일반,300,150,12,소기업,20000222,도시지역 / 주거지역 / 제2종일반주거지역,대,편조의복 제조업,14300,니트,031-755-7664,13288,경기도 성남시 수정구 남문로78번길 4,경기도 성남시 수정구 태평동 3205번지,37.44611852,127.1353686
일광상사,경기도 성남시,일반,185,160,25,소기업,20060620,도시지역 / 주거지역 / 준주거지역,대,셔츠 및 블라우스 제조업 외 3 종,"14111, 14112, 14191, 14192",의류,031-756-0254,13305,경기도 성남시 수정구 수정북로 40-1,경기도 성남시 수정구 태평동 3638번지,37.44236513,127.1341772
제일사,경기도 성남시,일반,0,141.76,4,소기업,19991029,도시지역 / 주거지역 / 제2종일반주거지역,대,가죽의복 제조업,14193,가죽의류,031-756-8558,13289,경기도 성남시 수정구 시민로205번길 32,경기도 성남시 수정구 태평동 3307-152번지,37.44536112,127.1382212
주식회사 대진,경기도 성남시,일반,0,115.5,5,소기업,20150331,도시지역 / 주거지역 / 제3종일반주거지역,대,남자용 겉옷 제조업 외 10 종,"13229, 14111, 14112, 14120, 14191, 14192, 14199, 14491, 14499, 15121, 15129","모자, 사원복 등",031-737-8121,13304,경기도 성남시 수정구 수정북로39번길 9,경기도 성남시 수정구 태평동 3610-2번지 지층,37.44310239,127.1335745
준 FnC,경기도 성남시,일반,0,130.2,8,소기업,20211228,도시지역 / 주거지역 / 제2종일반주거지역,대,모자 제조업 외 1 종,"14491, 14499","모자, 기타 의복 액세서리",031-737-8123,13287,경기도 성남시 수정구 남문로77번길 13,경기도 성남시 수정구 태평동 3076번지 지층,37.44743279,127.1348083
준희어페럴,경기도 성남시,일반,162.84,162.84,4,소기업,20160825,도시지역 / 주거지역 / 제2종일반주거지역,대,스타킹 및 기타 양말 제조업,14411,양말,031-721-7711,13288,경기도 성남시 수정구 남문로78번길 3,경기도 성남시 수정구 태평동 3249-1번지 지층,37.44624551,127.135628
풍진섬유,경기도 성남시,일반,140,140,7,소기업,19961016,도시지역 / 주거지역 / 제2종일반주거지역,대,스타킹 및 기타 양말 제조업,14411,양말,031-753-0121,13301,경기도 성남시 수정구 남문로60번길 9,경기도 성남시 수정구 태평동 3781번지,37.44514931,127.1338358
하경실업,경기도 성남시,일반,297,267,15,소기업,20070118,도시지역 / 상업지역 / 일반상업지역,대,속옷 및 잠옷 제조업 외 3 종,"14111, 14112, 14120, 14192",스웨터,031-754-5951,13305,경기도 성남시 수정구 수정북로 44,경기도 성남시 수정구 태평동 3640번지 2층,37.44243794,127.134403
혜진실업,경기도 성남시,일반,0,218,19,소기업,19980116,도시지역 / 상업지역 / 일반상업지역,대,여자용 겉옷 제조업,14112,여성복,031-756-2418,13305,경기도 성남시 수정구 수정북로 40-1,경기도 성남시 수정구 태평동 3638번지,37.44236513,127.1341772
(주)보성풀,경기도 성남시,일반,490,460,37,소기업,19990225,도시지역 / 주거지역 / 준주거지역,대,"근무복, 작업복 및 유사의복 제조업 외 3 종","14111, 14112, 14192, 14199",봉제,031-755-6688,13308,경기도 성남시 수정구 성남대로 1270,경기도 성남시 수정구 태평동 6116-2번지,37.44311067,127.1275716
(주)세우전자통신,경기도 성남시,일반,0,34,7,소기업,19970404,도시지역 / 주거지역 / 준주거지역,대,사무용 기계 및 장비 제조업 외 2 종,"29176, 29180, 29199",계산기,31,13311,경기도 성남시 수정구 수정로73번길 6-5,경기도 성남시 수정구 태평동 6503번지 극동빌딩,37.44057283,127.1288502
(주)카메오,경기도 성남시,일반,219.2,65,20,소기업,19991229,도시지역 / 주거지역 / 준주거지역,대,남자용 겉옷 제조업,14111,의류,031-757-2993,13305,경기도 성남시 수정구 수정북로 44,경기도 성남시 수정구 태평동 3640번지,37.44243794,127.134403
(주)케이지앤에이치피,경기도 성남시,일반,264,133,4,소기업,20050614,도시지역 / 주거지역 / 제2종일반주거지역,대,액체 펌프 제조업,29131,히트펌프,031-752-8112,13110,경기도 성남시 수정구 성남대로1271번길 6-5,경기도 성남시 수정구 태평1동 6720번지,37.44337672,127.126191
(주)흥화씨엔에이,경기도 성남시,일반,70.97,40,5,소기업,20201211,도시지역 / 주거지역 / 제2종일반주거지역,대,구조용 금속 판제품 및 공작물 제조업,25112,"안내표지판, 게시대, 철구조물",031-721-3550,13301,경기도 성남시 수정구 남문로60번길 7,경기도 성남시 수정구 태평동 3785번지 한솔맨션 202호,37.44534736,127.1337557
국제베비마트,경기도 성남시,일반,0,50,8,소기업,20010504,도시지역 / 주거지역 / 제2종일반주거지역,대,기타 직물제품 제조업 외 1 종,"13229, 27199","지저귀카바,아가띠,탄력밴드",031-722-2185,13279,경기도 성남시 수정구 시민로222번길 3-1,경기도 성남시 수정구 태평동 7290-5번지,37.44772269,127.1411719
다기산업,경기도 성남시,일반,0,151,5,소기업,19920519,도시지역 / 주거지역 / 제2종일반주거지역,대,그 외 기타 달리 분류되지 않은 제품 제조업,33999,우산,031-741-4002,13110,경기도 성남시 수정구 모란로 84,경기도 성남시 수정구 태평동 6940번지 태화빌딩,37.44037445,127.1259686
대광섬유,경기도 성남시,일반,313.5,231,17,소기업,19991217,도시지역 / 주거지역 / 준주거지역,대,편조의복 제조업,14300,쉐타,031-758-3370,13305,경기도 성남시 수정구 수정로135번길 5-8,경기도 성남시 수정구 태평동 3647번지,37.44225718,127.1342456
대동섬유,경기도 성남시,일반,0,198,25,소기업,19971226,도시지역 / 주거지역 / 준주거지역,대,편조의복 제조업,14300,쉐타,031-756-0832,13275,경기도 성남시 수정구 태평로124번길 20,경기도 성남시 수정구 태평동 1821번지,37.44969529,127.1407102
대신산업,경기도 성남시,일반,0,90,5,소기업,20010130,도시지역 / 주거지역 / 제2종일반주거지역,대,구두류 제조업,15211,구두,031-754-6806,13309,경기도 성남시 수정구 제일로 191,경기도 성남시 수정구 태평동 5612-1번지,37.44327312,127.13051
대진사,경기도 성남시,일반,45.6,45.6,7,소기업,20080618,도시지역 / 주거지역 / 제3종일반주거지역,대,그 외 기타 의복액세서리 제조업,14499,"스키장갑, 등산장갑",031-754-8637,13274,경기도 성남시 수정구 태평로 108,경기도 성남시 수정구 태평동 212번지 지층,37.45086015,127.1384434
대호섬유,경기도 성남시,일반,0,153,14,소기업,19980105,도시지역 / 주거지역 / 준주거지역,대,"근무복, 작업복 및 유사의복 제조업 외 2 종","14111, 14112, 14192",의류,31,13288,경기도 성남시 수정구 탄리로96번길 19,경기도 성남시 수정구 태평동 3265번지,37.44503334,127.1371488
덕창섬유,경기도 성남시,일반,107,97,7,소기업,20010115,도시지역 / 주거지역 / 제2종일반주거지역,대,편조의복 제조업 외 3 종,"14111, 14112, 14192, 14300",의류,031-755-8154,13276,경기도 성남시 수정구 남문로143번길 13-2,경기도 성남시 수정구 태평동 2125번지,37.44962599,127.1416376
